Cantonese,Part of Speech,Group,English,Pronunciation
班,Noun,Academics,class,baan1
堂,Noun,Academics,lesson,tong4
書檯,Noun,Academics,desk,syu1toi2
功課,Noun,Academics,"homework, assignment",gung1fo3
校長,Noun,Academics,principal,haau6zoeng2
成績表,Noun,Academics,"transcript, report card",sing4zik1biu2
學期,Noun,Academics,"term, semester",hok6kei4
畢業 ,Verb,Academics,to graduate ,bat1jip6
讀書,Verb,Academics,to study,duk6syu1
溫習,Verb,Academics,to revise,wan1zaap6
學校,Noun,Academics,school,hok6haau6
幼稚園,Noun,Academics,kindergarten,jau3zi6jyun2
小學,Noun,Academics,primary school,siu2hok6
中學,Noun,Academics,"secondary school, middle school, high school",zung1hok6
大學,Noun,Academics,"university, college",daai6hok6
學位,Noun,Academics,degree,hok6wai2
文憑,Noun,Academics,diploma,man4pang4
證書,Noun,Academics,certificate,zing3syu1
中學文憑,Noun,Academics,high school diploma,zung1hok6
學士,Noun,Academics,Bachelor's Degree ,hok6si6
碩士 ,Noun,Academics,Master's Degree ,sek6si6
博士,Noun,Academics,Doctorate (PhD),bok3si6
科,Noun,Academics,"subject, course",fo1
生物學,Noun,Academics,biology,sang1mat6hok6
微積分,Noun,Academics,calculus,mei4zik1fan1
化學,Noun,Academics,chemistry,faa3hok6
經濟學,Noun,Academics,economics,ging1zai3hok6
工程,Noun,Academics,engineering,gung1cing4
地理,Noun,Academics,geography,dei6lei5
歷史,Noun,Academics,history,lik6si2
數學,Noun,Academics,math,sou3hok6
音樂 ,Noun,Academics,music,jam1ngok6
物理,Noun,Academics,physics,mat6lei5
科學,Noun,Academics,science,fo1hok6
社會學,Noun,Academics,sociology,se5wui2hok6
統計學,Noun,Academics,statistics,tung2gai3hok6
城市規劃,Noun,Academics,urban planning,sing4si5kwai1waak6
語言學,Noun,Academics,lingustics,jyu5jin4hok6
字典,Noun,Academics,dictionary,zi6din2
好,Adjective,Adjective,good,hou2
唔好,Adjective,Adjective,not good,m4 hou2
先,Adjective,Adjective,early,sin1
下,Adjective,Adjective,next,haa6
都,Adverb,Adverb,"also, too, even, already",dou1
就,Adverb,Adverb,almost,zau6
又,Adverb,Adverb,"(once) again, also ",jau6
真係,Adverb,Adverb,really,zan1 hai6
已經,Adverb,Adverb,already,ji5 ging1
就係,Adverb,Adverb,exactly,zau6hai6
再,Adverb,Adverb,"again, repeated",zoi3
其實,Adverb,Adverb,"actually, in fact",kei4sat6
仲,Adverb,Adverb,still,zung6
嘅,Affix,Affix,"for indicating possession (i.e. mine,yours, his, her's, its, someone's)",ge3
嘅,Affix,Affix,"possessive marker (i.e. yours, his, her's, its, someone's)",ge3
動物,Noun,Animals,animal,dung6mat6
貓 ,Noun,Animals,cat,maau1
貓仔,Noun,Animals,"kitty, small cat",maau1zai2
狗,Noun,Animals,dog,gau2
狗仔,Noun,Animals,doggy. Small dog,gau2zai2
馬,Noun,Animals,horse,maa5
豬,Noun,Animals,pig,zyu1
羊,Noun,Animals,"sheep, goat",joeng4
熊,Noun,Animals,bear,hung4
大笨象,Noun,Animals,elephant,daai6ban6zoeng6
獅子,Noun,Animals,lion,si1zi2
馬騮,Noun,Animals,monkey,maa5lau1
老鼠,Noun,Animals,"mouse, rat",lou5syu2
熊貓,Noun,Animals,panda,hung4maau1
兔,Noun,Animals,rabbit,tou3
雀仔,Noun,Animals,bird,zoek3zai2
烏鴉,Noun,Animals,crow,wu1aa1
蟲,Noun,Animals,bug,cung4
螞蟻,Noun,Animals,ant,maa5ngai5
蜜蜂,Noun,Animals,bee,mat6fung1
蝴蝶,Noun,Animals,butterfly,wu4dip2
曱甴,Noun,Animals,cockroach,gaat6zaat2
蜻蜓,Noun,Animals,dragonfly,cing1ting4
烏蠅,Noun,Animals,fly,wu1jing1
蚊,Noun,Animals,mosquito,man1
蜘蛛,Noun,Animals,spider,zi1zyu1
青蛙,Noun,Animals,frog,ceng1waa1
蛇 ,Noun,Animals,snake,ji4
龜,Noun,Animals,turtle,gwai1
尾巴,Noun,Animals,tail,mei5baa1
翼,Noun,Animals,wing,jik6
雞,Noun,Animals,chicken,gai1
魚,Noun,Animals,fish,jyu2
一個,Article,Article,"a, an, the, one,",jat1go3
一個,Article,Article,"a, an, the, one,",jat1 go3
嗰,Article,Article,that,gwo2
嗰啲,Article,Article,those,gwo2 di1
到,Grammatical Particle,Aspect Particle,for indicating completion or potential,dou2
咗,Grammatical Particle,Aspect Particle,a perfective particle (finish/have done sth),zo2
到,Grammatical Particle,Aspectual Particle,for indicating completion or potential,dou2
咗,Grammatical Particle,Aspectual Particle,a perfective particle (finish/have done sth),zo2
浴缸,Noun,Bathroom and toiletries,bathtub,juk6gong1
刷,Noun,Bathroom and toiletries,brush,caat3
梳,Noun,Bathroom and toiletries,comb,so1
護髮素,Noun,Bathroom and toiletries,conditioner,wu6faat3sou3
牙線,Noun,Bathroom and toiletries,dental floss,ngaa4sin3
止汗劑,Noun,Bathroom and toiletries,deodorant,zi2hon6zai1
鬚刨,Noun,Bathroom and toiletries,razor,sou1paau2
紙巾,Noun,Bathroom and toiletries,tissue,zi2gan1
瀉藥,Noun,Bathroom and toiletries,laxative,se3joek6
唇膏,Noun,Bathroom and toiletries,lipstick,seon4gou1
化妝,Noun,Bathroom and toiletries,make-up,faa3zong1
鏡,Noun,Bathroom and toiletries,mirror,geng3
指甲鉗,Noun,Bathroom and toiletries,nail clippers,zi2gaap3kim2
香水,Noun,Bathroom and toiletries,perfume,hoeng1seoi2
M巾,Noun,Bathroom and toiletries,menstrual pad,em1gan1
洗頭水,Noun,Bathroom and toiletries,shampoo,sai2tau4seoi2
剃鬚膏,Noun,Bathroom and toiletries,shaving cream,tai3sou1gou1
沖涼,Noun,Bathroom and toiletries,shower,cung1loeng4
洗手盤,Noun,Bathroom and toiletries,sink,sai2sau2pun4
番梘,Noun,Bathroom and toiletries,bar soap,faan1gaan2
梘液,Noun,Bathroom and toiletries,liquid soap,gaan2jik6
沖涼液,Noun,Bathroom and toiletries,bodywash,cung1loeng4
棉條,Noun,Bathroom and toiletries,tampon,min4tiu2
廁所,Noun,Bathroom and toiletries,"toilet, bathroom, washroom",ci3so2
沖廁,Verb,Bathroom and toiletries,to flush,cung1ci3
廁紙,Noun,Bathroom and toiletries,toilet paper,ci3zi2
牙刷,Noun,Bathroom and toiletries,toothbrush,ngaa4caat2
刷牙,Verb,Bathroom and toiletries,to brush one's teeth,caat3ngaa4
牙膏,Noun,Bathroom and toiletries,toothpaste,ngaa4gou1
凡士林,Noun,Bathroom and toiletries,vaseline,faan4si6lam4
床,Noun,Bedroom,bed,cong4
床單,Noun,Bedroom,sheets,cong4
枕頭,Noun,Bedroom,pillow,zam2tau4
手臂,Noun,Body,arm,sau2bei3
背脊,Noun,Body,back,bui3zek3
鬍鬚,Noun,Body,beard,wu4sou1
肚,Noun,Body,belly,tou5
血,Noun,Body,blood,hyut3
身體,Noun,Body,body,san1tai2
骨,Noun,Body,bone,gwat1
腦,Noun,Body,brain,nou5
胸,Noun,Body,"breast, chest",hung1
耳仔,Noun,Body,ear,ji5zai2
眼,Noun,Body,eye,ngaan5
臉,Noun,Body,face,lim5
手指,Noun,Body,finger,sau2zi2
指甲,Noun,Body,fingernail,zi2gaap3
腳,Noun,Body,foot,goek3
頭髮,Noun,Body,hair (on head),tau4faat3
毛,Noun,Body,hair (not on head),mou4
手,Noun,Body,hand,sau2
頭,Noun,Body,head,tau4
心,Noun,Body,heart,sam1
膝頭哥,Noun,Body,knee,sat1tau4go1
腿,Noun,Body,leg,teoi2
嘴唇,Noun,Body,lip,zeoi2seon4
肝,Noun,Body,liver,gon1
肺,Noun,Body,lungs,fai3
嘴,Noun,Body,mouth,zeoi2
口,Noun,Body,mouth,hau2
肌肉,Noun,Body,muscle,gei1juk6
神經,Noun,Body,nerve,san4ging1
頸,Noun,Body,neck,geng2
鼻,Noun,Body,nose,bei6
器官,Noun,Body,organ,hei3gun1
病咗,Adjective,Body,sick,beng6
膊頭,Noun,Body,shoulder,bok3tau4
皮膚,Noun,Body,skin,pei4fu1
胃,Noun,Body,stomach,wai6
汗,Noun,Body,sweat,hon4
牙齒,Noun,Body,teeth,ngaa4ci2
手指公,Noun,Body,thumb,sau2zi2gung1
舌,Noun,Body,tongue,sit3
腰,Noun,Body,waist,jiu1
嚟M,Noun,Body,period,lai4em1
鼻涕,Noun,Body,snot,bei6tai3
個,Classifier,Classifier,a general classifier,go3
架,Classifier,Classifier,for planes and vehicles,gaa3
泳衣,Noun,Clothing,bathing suit,wing6ji1
衫,Noun,Clothing,clothes,saam1
皮帶,Noun,Clothing,belt,pei4daai2
靴,Noun,Clothing,boots,hoe4
孖煙通,Noun,Clothing,boxer shorts,maa1jin1tung1
底褲,Noun,Clothing,"briefs, panties",dai2fu3
鈕,Noun,Clothing,button,nau2
扣鈕,Verb,Clothing,to button up,kau3nau2
大褸,Noun,Clothing,coat,daai6lau1
裙,Noun,Clothing,"dress, skirt",kwan4
手套,Noun,Clothing,gloves,sau2tou3
帽,Noun,Clothing,hat,mou2
高踭鞋,Noun,Clothing,high heels,gou1zaang1haai4
褸,Noun,Clothing,jacket,lau1
牛仔褲,Noun,Clothing,jeans,ngau4zai2fu3
褲,Noun,Clothing,pants,fu3
睡衣,Noun,Clothing,pyjamas,seoi6ji1
雨褸,Noun,Clothing,raincoat,jyu5lau1
頸巾,Noun,Clothing,scarf,geng2gan1
恤衫,Noun,Clothing,shirt,seot1saam1
鞋,Noun,Clothing,shoes,haai4
短褲,Noun,Clothing,shorts,dyun2fu3
拖鞋,Noun,Clothing,slippers,to1haai2
襪,Noun,Clothing,socks,mat6
西裝,Noun,Clothing,suit,sai1zong1
冷衫,Noun,Clothing,sweater,laang1saam1
呔,Noun,Clothing,necktie,taai1
底衫,Noun,Clothing,underwear,dai2saam1
制服,Noun,Clothing,uniform,zai3fuk6
拉拉鏈,Verb,Clothing,to zip zipper,laai1laai1
拉鏈,Noun,Clothing,zipper,laai1lin2
顏色,Noun,Color,color,ngaan4sik1
米色,Noun,Color,beige,mai5sik1
黑色,Noun,Color,black,haak1sik1
藍色,Noun,Color,blue,laam4sik1
啡色,Noun,Color,brown,fe1sik1
螢光,Adjective,Color,fluorescent,jing4gwong1
金色,Noun,Color,gold,gam1sik1
綠色,Noun,Color,green,luk6sik1
青色,Noun,Color,green-yellow,ceng1sik1
灰色,Noun,Color,grey,fui1sik1
橙色,Noun,Color,orange,caang2sik1
粉紅色,Noun,Color,pink,fan2hung4sik1
紫色,Noun,Color,purple,zi2sik1
紅色,Noun,Color,red,hung4sik1
銀色,Noun,Color,silver,ngan4sik1
透明,Adjective,Color,transparent,tau3ming4
白色,Noun,Color,white,baak6sik1
黃色,Noun,Color,yellow,wong4sik1
頭先,Phrase,Common Phrase,just now,sin1
都係,Phrase,Common Phrase,also is,dou1hai6
唔使客氣,Phrase,Common phrases,you're welcome,m4sai2
你好嗎,Phrase,Common phrases,how are you,nei5
你食咗飯未,Phrase,Common phrases,have you eaten yet?,nei5
你最近點啊,Phrase,Common phrases,how have you been lately?,nei5
食飯,Phrase,Common phrases,bon appétit!,sik6faan6
聽日見,Phrase,Common phrases,see you tomorrow!,ting1jat6
早晨,Phrase,Common phrases,good morning,zou2san4
你好,Phrase,Common phrases,hello,nei5
同,Conjunction,Conjunction,"and, with",tung4
之後,Conjunction,Conjunction,after,zi1 hau6
但,Conjunction,Conjunction,"but, however",daan6
不過,Conjunction,Conjunction,"but, however",bat1gwo3
如果,Conjunction,Conjunction,if,jyu4gwo2
因為,Conjunction,Conjunction,"because, due to",jan1wai6
所以,Conjunction,Conjunction,"so, therefore, hence, thus",so2 ji5
但係,Conjunction,Conjunction,"but, however",daan6hai6
住,Grammatical Particle,Continous Particle,"""verb-ing"" in an english context ",zyu6
傾偈,Verb,Daily Activity,chat,keng1gai2
電腦,Noun,Daily Objects,computer,din6nou5
鍵盤 ,Noun,Daily Objects,keyboard ,gin6pun2
書,Noun,Daily Objects,book,syu1
枱,Noun,Daily Objects,table,toi2
櫈,Noun,Daily Objects,chair,dang3
電視,Noun,Daily Objects,TV,din6si6
啲,Grammatical Particle,Degree Particle,"""adj-er"" in an english context, more",di1
啲,Grammatical Particle,Degree Particle,"""adj-er"" in an english context, more",di1
喂,Grammatical Particle,Exclamation,hey,wai3
哇,Grammatical Particle,Exclamation,wow,waa1
呀,Grammatical Particle,Exclamation,"ah, oh (expressing surprise)",aa1
呀,Grammatical Particle,Exclamation,"ah, oh (expressing surprise)",aa1
覺得,Verb,Feelings,to feel,gok3dak1
感覺,Noun,Feelings,feelings,gam2gok3
抱怨,Verb,Feelings,to complain,pou5jyun3
恭喜,Verb,Feelings,to congratulate ,gung1hei2
原諒,Verb,Feelings,to forgive,jyun4loeng6
八卦,Verb,Feelings,to gossip,baat3gwaa3
愛,Verb,Feelings,to love,oi3
恨,Verb,Feelings,to hate,han6
希望,Verb,Feelings,to hope,hei1mong6
後悔,Verb,Feelings,to regret,hau6fui3
多謝,Verb,Feelings,to thank,do1ze6
驚,Verb,Feelings,"to be afraid, to be scared",geng1
嬲,Verb,Feelings,to be angry,nau1
煩,Verb,Feelings,to be annoyed,faan4
悶,Verb,Feelings,to be bored,mun6
平靜,Adjective,Feelings,calm,ping4zing6
舒服,Adjective,Feelings,comfortable,syu1fuk6
失望,Adjective,Feelings,dissapointed,sat1mong6
羡慕,Verb,Feelings,"to admire, to envy ",sin6mou6
興奮,Adjective,Feelings,excited,hing1fan5
沮喪,Adjective,Feelings,frustrated,zeoi2song3
感激,Adjective,Feelings,grateful,gam2gik1
內疚,Adjective,Feelings,guilty,noi6gau3
絕望,Adjective,Feelings,hopeless,zyut6mong6
心情唔好,Adjective,Feelings,in a bad mood,sam1cing4
冷漠,Adjective,Feelings,indifferent,laang5mok6
妒忌,Verb,Feelings,to jealous,dou3gei6
緊張,Adjective,Feelings,nervous,gan2zoeng1
驕傲,Adjective,Feelings,proud,giu1ngou6
傷心,Adjective,Feelings,sad,soeng1sam1
震驚,Adjective,Feelings,shocked,zan3ging1
眼瞓,Adjective,Feelings,sleepy,ngaan5fan3
驚訝,Adjective,Feelings,surprised,ging1ngaa6
攰,Adjective,Feelings,tired,gui6
難受,Adjective,Feelings,uncomfortable,naan4sau6
我愛你,Phrase,Feelings,I love you,ngo5
擔心,Verb,Feelings,to worry,daam1sam1
開心,Adjective,Feelings,"happy, glad",hoi1sam1
嘅,Grammatical Particle,Final Particle,asserting doubt,ge2
啦,Grammatical Particle,Final Particle,for request or reluctant acceptance,laa1
喇,Grammatical Particle,Final Particle,"now, already (for changing situation)",laa3
呀,Grammatical Particle,Final Particle,softener,aa3
嘅,Grammatical Particle,Final Particle,asserting doubt,ge2
呀,Grammatical Particle,Final Particle,softener,aa3
呢,Grammatical Particle,Final Particle,"for questions, ""how about""",ne1
啦,Grammatical Particle,Final Particle,for request or reluctant acceptance,laa1
喇,Grammatical Particle,Final Particle,"now, already (for changing situation)",laa3
咩,Grammatical Particle,Final Particle,a general question participle,me1
喎,Grammatical Particle,Final Particle,for purpose of reminding,wo3wo4
囉,Grammatical Particle,Final Particle,for disagreement or changed mood.,lo1
飲,Verb,Food and drink,drink,jam2
食,Verb,Food and drink,eat,sik6
飽 ,Adjective,Food and drink,full,baau2
肚餓 ,Adjective,Food and drink,hungry,tou5ngo6
口渴,Adjective,Food and drink,thirsty ,hau2hot3
燶,Adjective,Food and drink,burned,nung6
好食,Adjective,Food and drink,"tasty, delicious, yummy",hou2sik6
新鮮,Adjective,Food and drink,fresh,san1sin1
變壞,Adjective,Food and drink,"rotten, have gone bad",bin3waai6
好,Adjective,Food and drink,good,hou2
見到都流口水,Phrase,Food and drink,mouthwatering,gin3dou2
生,Adjective,Food and drink,raw,saang1
香,Adjective,Food and drink,smells good,hoeng1
好味,Adjective,Food and drink,"tasty, delicious, yummy",hou2mei6
素,Adjective,Food and drink,vegetarian,sou3
食齋 ,Verb,Food and drink,"to be vegetarian, to eat vegetarian food",sik6zaai1
酒,Noun,Food and drink,alcohol (beverage),zau2
啤酒,Noun,Food and drink,beer,be1zau2
咖啡因,Noun,Food and drink,caffeine,gaa3fe1jan1
咖啡,Noun,Food and drink,coffee,gaa3fe1
熱巧克力,Noun,Food and drink,hot chocolate,jit6haau2hak1lik6
汁,Noun,Food and drink,juice,zap1
奶,Noun,Food and drink,milk,naai5
奶昔,Noun,Food and drink,milkshake,naai5sik1
豆漿,Noun,Food and drink,soy milk,dau6zoeng1
紅酒,Noun,Food and drink,red wine,hung4zau2
白酒,Noun,Food and drink,white wine,baak6zau2
茶,Noun,Food and drink,tea,caa4
紅茶,Noun,Food and drink,black tea,hung4caa4
綠茶,Noun,Food and drink,green tea,luk6caa4
涼茶,Noun,Food and drink,herbal tea,loeng4caa4
烏龍茶,Noun,Food and drink,Oolong tea,wu1lung2caa4
奶茶,Noun,Food and drink,milk tea,naai5caa4
珍珠奶茶,Noun,Food and drink,"boba tea, bubble milk tea",zan1zyu1naai5caa4
汽水,Noun,Food and drink,"soda, soft drink, pop",hei3seoi2
可樂,Noun,Food and drink,coke,ho2lok6
可口可樂 ,Noun,Food and drink,Coca-Cola,ho2hau2ho2lok6
檸樂,Noun,Food and drink,lemon Coke,ning2lok6
百事,Noun,Food and drink,Pepsi,baak3si6
芬達,Noun,Food and drink,Fanta,fan1daat6
七喜,Noun,Food and drink,7 Up,cat1hei2
雪碧,Noun,Food and drink,Sprite,syut3bik1
早餐,Noun,Food and drink,breakfast,zou2caan1
晚餐,Noun,Food and drink,"dinner, supper",maan5caan1
宵夜,Noun,Food and drink,"late night meal, bedtime snacks",siu1je2
午餐,Noun,Food and drink,lunch,ng5caan1
食午餐,Verb,Food and drink,to have lunch,sik6
點心,Noun,Food and drink,dim sum,dim2sam1
沙律,Noun,Food and drink,salad,saa1leot2
湯,Noun,Food and drink,soup,soeng1
壽司,Noun,Food and drink,sushi,sau6si1
生果,Noun,Food and drink,fruit,saang1gwo2
蘋果,Noun,Food and drink,apple,ping4gwo2
香蕉,Noun,Food and drink,banana,hoeng1ziu1
藍莓,Noun,Food and drink,blueberry,laam4mui2
哈蜜瓜,Noun,Food and drink,cantaloupe,haa1mat6gwaa1
車厘子,Noun,Food and drink,cherry,ce1lei4zi2
榴蓮,Noun,Food and drink,durian,lau4lin4
提子,Noun,Food and drink,grapes,tai4zi2
蜜瓜,Noun,Food and drink,honeydew melon,mat6gwaa1
奇異果,Noun,Food and drink,kiwi,kei4ji6gwo2
檸檬,Noun,Food and drink,lemon,ning4mung1
青檸,Noun,Food and drink,lime,ceng1ning2
龍眼,Noun,Food and drink,longan,lung4ngaan2
荔枝,Noun,Food and drink,lychee,lai6zi1
芒果,Noun,Food and drink,mango,mong1gwo2
密瓜,Noun,Food and drink,melon,mak6gwaa1
橙,Noun,Food and drink,orange,caang2
木瓜,Noun,Food and drink,papaya,muk6gwaa1
桃,Noun,Food and drink,peach,tou4
梨,Noun,Food and drink,pear,lei2
菠蘿,Noun,Food and drink,pineapple,bo1lo4
士多啤厘,Noun,Food and drink,strawberry,si6do1
西瓜,Noun,Food and drink,watermelon,sai1gwaa1
菜,Noun,Food and drink,vegetable,coi3
蘆筍,Noun,Food and drink,asparagus,lou4seon2
豆,Noun,Food and drink,beans,dau6
白菜,Noun,Food and drink,bok choy,baak6coi3
西蘭花,Noun,Food and drink,broccoli,sai1laan4faa1
椰菜,Noun,Food and drink,cabbage,je4coi3
紅蘿蔔,Noun,Food and drink,carrot,hung4lo4baak6
椰菜花,Noun,Food and drink,cauliflower,je4coi3faa1
西芹,Noun,Food and drink,celery,sai1kan2
粟米,Noun,Food and drink,corn,suk1mai5
青瓜,Noun,Food and drink,cucumber,ceng1gwaa1
茄子,Noun,Food and drink,eggplant,ke2zi2
蔥,Noun,Food and drink,green onion,cung1
生菜,Noun,Food and drink,lettuce,saang1coi3
蘑菇,Noun,Food and drink,mushroom,mo4gu1
橄欖油,Noun,Food and drink,olive oil,gaam3laam5jau4
洋蔥,Noun,Food and drink,onion,joeng4cung1
薯仔,Noun,Food and drink,potato,syu4zai2
南瓜,Noun,Food and drink,pumpkin,naam4gwaa1
紫菜,Noun,Food and drink,seaweed (as food),zi2coi3
菠菜,Noun,Food and drink,spinach,bo1coi3
番薯,Noun,Food and drink,sweet potato,faan1syu2
番茄,Noun,Food and drink,tomato,faan1ke2
白蘿蔔,Noun,Food and drink,turnip,baak6lo4baak6
淮山,Noun,Food and drink,yam,waai4saan1
米,Noun,Food and drink,rice (raw),mai5
飯,Noun,Food and drink,rice (cooked),faan6
炒飯,Noun,Food and drink,fried rice,caau2faan6
麵包,Noun,Food and drink,bread,min6baau1
麵粉,Noun,Food and drink,flour,min6
麵,Noun,Food and drink,noodles,min6
炒麵,Noun,Food and drink,fried noodles,caau2
公仔麵,Noun,Food and drink,instant noodles,gung1zai2min6
米粉,Noun,Food and drink,rice noodles,mai5fan2
饅頭,Noun,Food and drink,steamed bun,maan4tau4
肉,Noun,Food and drink,meat,juk6
杏仁,Noun,Food and drink,almonds,hang6jan4
牛肉,Noun,Food and drink,beef,ngau4juk6
腰果,Noun,Food and drink,cashews,jiu1gwo2
