Cantonese,Part of Speech,Group,English,Pronunciation
鴨,Noun,Food and drink,duck,aap2
蛋,Noun,Food and drink,egg,daan2
果仁,Noun,Food and drink,nuts,gwo2jan4
花生,Noun,Food and drink,peanuts,faa1sang1
豬肉,Noun,Food and drink,pork,zyu1juk6
豆腐,Noun,Food and drink,tofu,dau6fu6
火雞,Noun,Food and drink,turkey,fo2gai1
核桃,Noun,Food and drink,walnuts,hat6tou4
魷魚,Noun,Food and drink,squid， calamari,jau4jyu2
鰻魚,Noun,Food and drink,eel,maan4jyu2
龍蝦,Noun,Food and drink,lobster,lung4haa1
三文魚,Noun,Food and drink,salmon,saam1man4jyu2
蝦,Noun,Food and drink,shrimp,haa1
吞拿魚,Noun,Food and drink,tuna,tan1naa4jyu2
烘焙,Noun,Food and drink,baking,hung1bui6
燒烤,Noun,Food and drink,barbecue,siu1haau1
水煮,Verb,Food and drink,to poach,seoi2zyu2
蒸,Verb,Food and drink,to steam cook,zing1
油炸,Verb,Food and drink,to deep fry,jau4zaa3
炒,Verb,Food and drink,"to stir fry, to sauté",caau2
燒,Verb,Food and drink,to grill,siu1
醃,Verb,Food and drink,to marinate,jip3
微波,Verb,Food and drink,to microwave,mei4bo1
焗,Verb,Food and drink,"to roast, to bake",guk6
煨,Verb,Food and drink,to simmer,wui1
煙薰,Verb,Food and drink,to smoke (cooking),jin1
燉 ,Verb,Food and drink,to stew,dan6
煎,Verb,Food and drink,to pan-fry,zin1
水,Noun,Food and drink,water,seoi2
雞,Noun,Food and drink,chicken,gai1
健康,Noun,Health and illness,health,gin6hong1
健康,Adjective,Health and illness,healthy,gin6hong1
病咗,Verb,Health and illness,to get sick,beng6
中醫,Noun,Health and illness,Chinese medicine,zung1ji1
診所,Noun,Health and illness,clinic,can2so2
醫院,Noun,Health and illness,hospital,ji1jyun2
打針,Verb,Health and illness,to inject (medication),daa2zam1
按摩,Verb,Health and illness,to massage,on3mo1
藥房,Noun,Health and illness,pharmacy,joek6fong4
維他命,Noun,Health and illness,vitamin,wai4taa1ming6
瑜伽,Noun,Health and illness,yoga,jyu4gaa1
疾病,Noun,Health and illness,disease,zat6beng6
過敏,Noun,Health and illness,allergies,gwo3man5
焦慮,Noun,Health and illness,anxiety,ziu1leoi6
哮喘,Noun,Health and illness,asthma,haau1cyun2
骨折,Noun,Health and illness,broken bone,gwat1zit3
瘀咗,Noun,Health and illness,bruise,jyu2
流血,Verb,Health and illness,to bleed,lau4hyut3
癌症,Noun,Health and illness,cancer,ngaam4zing3
感冒,Noun,Health and illness,cold,gam2mou6
便秘,Adjective,Health and illness,constipated,bin6
抽筋,Noun,Health and illness,cramps,cau1gan1
抑鬱症,Noun,Health and illness,depression,jik1wat1zing3
糖尿病,Noun,Health and illness,diabetes,tong4niu6beng6
肚痾,Verb,Health and illness,to have a diarrhea,tou5o1
甩骹,Verb,Health and illness,to have a dislocated join,lat1gaau3
頭暈,Adjective,Health and illness,dizzy,tau4wan4
發羊吊,Noun,Health and illness,epilepsy,faat3joeng4diu3
發燒,Noun,Health and illness,fever,faat3siu1
流感,Noun,Health and illness,flu,lau4gam2
頭痛,Noun,Health and illness,headache,tau4tung3
心臟病發作,Verb,Health and illness,to have a heart attack,sam1zong6beng6faat3
消化不良,Adjective,Health and illness,indigestion,siu1faa3bat1loeng4
失眠,Noun,Health and illness,insomnia,sat1min4
乳糖不耐症,Noun,Health and illness,lactose intolerant,jyu5tong4bat1noi6zing3
扭親,Verb,Health and illness,sprain,nau2
性病,Noun,Health and illness,STD,sing3beng6
中風,Verb,Health and illness,to have a stroke,zung3fung1
腫,Adjective,Health and illness,swollen,zung2
病毒,Noun,Health and illness,virus,beng6duk6
嘔,Verb,Health and illness,to vomit,au2
農曆新年,Noun,Holidays and celebrations,Lunar New Year,nung4lik6san1nin4
聖誕節,Noun,Holidays and celebrations,Christmas,sing3daan3zit3
聖誕樹,Noun,Holidays and celebrations,Christmas tree,sing3daan3syu6
復活節,Noun,Holidays and celebrations,Easter,fuk6wut6zit3
聖誕老人,Noun,Holidays and celebrations,Santa Claus,sing3daan3lou5jan4
樽,Noun,Kitchenware,bottle,zeon1
碗,Noun,Kitchenware,bowl,wun2
罐,Noun,Kitchenware,can,gun3
筷子,Noun,Kitchenware,chopsticks,faai3zi2
食譜,Noun,Kitchenware,cookbook,sik6pou2
杯,Noun,Kitchenware,cup,bui1
洗碗機,Noun,Kitchenware,dishwasher,sai2wun2gei1
叉,Noun,Kitchenware,fork,caa1
冰格,Noun,Kitchenware,freezer,bing1gaak3
煎pan,Noun,Kitchenware,frying pan,zin1pen1
玻璃杯,Noun,Kitchenware,glass (cup),bo1lei1bui1
刀,Noun,Kitchenware,knife,dou1
餐巾,Noun,Kitchenware,napkin,caan1gan1
雪櫃,Noun,Kitchenware,refridgerator,syut3gwai6
匙羹,Noun,Kitchenware,spoon,ci4gang1
枱布,Noun,Kitchenware,table cloth,toi2
茶壺,Noun,Kitchenware,teapot,caa4wu2
鑊,Noun,Kitchenware,wok,wok6
碟,Noun,Kitchenware,"dishes, plate",dip2
廣東話,Noun,Languages,Cantonese,gwong2dung1waa2
中文,Noun,Languages,Chinese,zung1man2
英文,Noun,Languages,English,jing1man2
地毯,Noun,Living room,"carpet, rug",dei6taam2
茶几,Noun,Living room,coffee table,caa4gei1
梳化,Noun,Living room,"couch, sofa",so1faa2
咕𠱸,Noun,Living room,cushion,gu1seon2
遙控,Noun,Living room,remote control,jiu4hung3
可以,Modal Verb,Modal Verb,"can, may, be allowed to",ho2ji5
會,Modal Verb,Modal Verb,will (do something),wui5
可以,Modal Verb,Modal Verb,"can, may, be allowed to",ho2 ji5
會,Modal Verb,Modal Verb,will (do something),wui5
得,Modal Verb,Modal Verb,can,dak1
唔會,Modal Verb,Modal Verb,will not (do something),m4wui5
應該,Modal Verb,Modal Verb,should,jing1goi1
錢,Noun,Money,money,cin2
幾錢,Question,Money,how much it cost,gei2
買,Verb,Money,to buy,maai5
散紙,Noun,Money,change (money),saan2zi2
平,Adjective,Money,cheap,peng4
貴,Adjective,Money,expensive,gwai3
電影,Noun,"Movies, TV, and Radio",movie,din6jing2
戲院,Noun,"Movies, TV, and Radio",cinema,hei3jyun2
字幕,Noun,"Movies, TV, and Radio",subtitles,zi6mok6
動作片,Noun,"Movies, TV, and Radio",action movie,dung6zok3pin2
動畫,Noun,"Movies, TV, and Radio",anime,dung6waa2
卡通片,Noun,"Movies, TV, and Radio",cartoon,kaa1tung1pin2
笑片,Noun,"Movies, TV, and Radio",comedy,siu3pin2
西片,Noun,"Movies, TV, and Radio",western film,sai1pin2
鬼片,Noun,"Movies, TV, and Radio",horror movie,gwai2pin2
收音機,Noun,"Movies, TV, and Radio",radio,sau1jam1gei1
主持,Noun,"Movies, TV, and Radio",host,zyu2ci4
電台,Noun,"Movies, TV, and Radio",radio station,din6toi4
電視劇,Noun,"Movies, TV, and Radio",TV series,din6si6kek6
飛,Noun,"Movies, TV, and Radio",ticket,fei1
歌,Noun,Music,song,go1
音樂,Noun,Music,music,jam1ngok6
演唱會,Noun,Music,concert,jin2coeng3wui2
樂器,Noun,Music,musical instrument,ngok6hei3
鋼琴,Noun,Music,piano,gong3kam4
彈琴,Verb,Music,to play piano,taan4kam4
小提琴,Noun,Music,violin,siu2tai4kam4
拉小提琴,Verb,Music,to play violin,laai1
歌迷,Noun,Music,fan of a singer,go1mai4
海灘,Noun,Nature,beach,hoi2taan1
叢林,Noun,Nature,jungle,cung4lam4
湖,Noun,Nature,lake,wu4
河,Noun,Nature,river,ho4
岩石,Noun,Nature,rock,ngaam4sek6
海,Noun,Nature,sea,hoi2
星,Noun,Nature,star,sing1
瀑布,Noun,Nature,waterfall,buk6bou3
浪,Noun,Nature,wave,long4
竹,Noun,Nature,bamboo,zuk1
仙人掌,Noun,Nature,cactus,sin1jan4zoeng2
蒲公英,Noun,Nature,dandelion,pou4gung1jing1
花,Noun,Nature,flower,faa1
草,Noun,Nature,grass,cou2
茉莉,Noun,Nature,jasmin,mut6lei2
葉,Noun,Nature,leaf,jip6
百合,Noun,Nature,lily,baak3hap6
花瓣,Noun,Nature,petal,faa1faan2
根,Noun,Nature,root,gan1
玫瑰,Noun,Nature,rose,mui4gwai3
向日葵,Noun,Nature,sunflower,hoeng3jat6kwai4
森林,Noun,Nature,forest,sam1lam4
植物,Noun,Nature,plant,zik6mat6
樹,Noun,Nature,tree,syu6
唔,Adverb,Negation,"no, not",m4
冇,Verb,Negation,"not to have, there is no",mou5
唔好,Verb,Negation,do not,m4 hou2
話,Noun,Noun,"talk, speech, language",waa2
會,Noun,Noun,meeting,wui2
架,Noun,Noun,"frame, rack",gaa2
嘢,Noun,Noun,thing,je5
人,Noun,Noun,"person, people, human",jan4
事,Noun,Noun,"matter, thing",si6
點,Noun,Noun,dot,dim2
零,Number,Number,zero,leng4
一,Number,Number,one,jat1
二,Number,Number,two (for counting),ji6
三,Number,Number,three,saam1
四,Number,Number,four,sei3
六,Number,Number,six,luk6
八,Number,Number,eight,baat3
十,Number,Number,ten,sap6
十一,Number,Number,eleven,sap6jat1
一百,Number,Number,one hundred,jat1baak3
一萬 ,Number,Number,ten thousand,jat1maan6
第,Affix,Numeral Prefix,for ordinal number,dai6
明星,Noun,Occupation,celebrity,ming4sing1
歌手,Noun,Occupation,singer,go1sau2
職業,Noun,Occupation,occupation,zik1jip6
商人,Noun,Occupation,businessperson,soeng1jan4
公務員,Noun,Occupation,civil servant,gung1mou6jyun4
牙醫,Noun,Occupation,dentist,ngaa4ji1
工程師,Noun,Occupation,engineer,gung1cing4si1
農民,Noun,Occupation,farmer,nung4man4
漁夫,Noun,Occupation,fisherman,jyu4fu1
記者,Noun,Occupation,journalist,gei3ze2
律師,Noun,Occupation,lawyer,leot6si1
搵工,Verb,Occupation,to look for a job,wan2gung1
經理,Noun,Occupation,manager,ging1lei5
打工仔,Noun,Occupation,worker (i.e. anyone one working but not being the boss),daa2gung1zai2
藥劑師,Noun,Occupation,pharmacist,joek6zai1si1
政客,Noun,Occupation,politician,zing3haak3
前台,Noun,Occupation,receptionist,cin4
言語治療師,Noun,Occupation,speech therapist,jin4jyu5
外科醫生,Noun,Occupation,surgeon,ngoi6fo1ji1saang1
翻譯,Noun,Occupation,translator,faan1jik6
侍應,Noun,Occupation,"waiter, waitress",si6jing3
作家,Noun,Occupation,writer,zok3gaa1
偶像,Noun,Occupation,idol,ngau5zoeng6
學生,Noun,Occupation,student,hok6saang1
廚師,Noun,Occupation,chef,ceoi4si1
演員,Noun,Occupation,actor,jin2jyun4
老師,Noun,Occupation,teacher,lou5si1
護士,Noun,Occupation,nurse,wu6si6
醫生,Noun,Occupation,doctor,ji1sang1
辦公室,Noun,Office and stationery,office,baan6gung1sat1
電腦 ,Noun,Office and stationery,computer ,din6nou5
抬,Noun,Office and stationery,table,toi4
信,Noun,Office and stationery,letter,seon3
紙,Noun,Office and stationery,paper,zi2
訂書機,Noun,Office and stationery,stapler,deng3syu1gei1
郵票,Noun,Office and stationery,stamp,jau4piu3
先,Number,Ordinal Number,first,sin1
避孕套,Noun,Personal Items,condom,bei6jan6tou3
親切,Adjective,Personality traits,affectionate,can1cit3
有野心,Adjective,Personality traits,ambitious,jau5
自大,Adjective,Personality traits,arrogant,zi6daai6
勇敢,Adjective,Personality traits,brave,jung5gam2
自信,Adjective,Personality traits,confident,zi6seon3
保守,Adjective,Personality traits,conservative,bou2sau2
黐線,Adjective,Personality traits,"insane, crazy",ci1sin3
癲,Adjective,Personality traits,"insane, crazy",din1
殘忍,Adjective,Personality traits,cruel,caan4jan2
好奇,Adjective,Personality traits,curious,hou3kei4
隨和,Adjective,Personality traits,easy-going,ceoi4wo4
熱情,Adjective,Personality traits,enthusiastic,jit6cing4
外向,Adjective,Personality traits,extraverted,ngoi6hoeng3
搞笑,Adjective,Personality traits,funny,gaau2siu3
大方,Adjective,Personality traits,generous,daai6fong1
貪心,Adjective,Personality traits,greedy,taam1sam1
勤力,Adjective,Personality traits,hard-working,kan4lik6
誠實,Adjective,Personality traits,honest,sing4sat6
無知,Adjective,Personality traits,ignorant,mou4zi1
冇耐性,Adjective,Personality traits,impatient,mou5noi6sing3
冇禮貌,Adjective,Personality traits,impolite,mou5lai5
醒目,Adjective,Personality traits,smart,sing2muk6
聰明,Adjective,Personality traits,smart,cung1ming4
叻,Adjective,Personality traits,"capable, brilliant, good at ...",lek1
激烈,Adjective,Personality traits,intense,gik1lit6
內向,Adjective,Personality traits,introverted,noi6hoeng3
善良,Adjective,Personality traits,kind,sin6loeng4
懶,Adjective,Personality traits,lazy,laan5
嘈,Adjective,Personality traits,loud,cou4
謙虛,Adjective,Personality traits,modest,him1heoi1
八卦,Adjective,Personality traits,nosy,baat3gwaa3
有耐性,Adjective,Personality traits,patient,jau5
有禮貌,Adjective,Personality traits,polite,jau5lai5maau6
靠得住,Adjective,Personality traits,reliable,kaau3
有責任感,Adjective,Personality traits,responsible,jau5zaak3jam6
自私,Adjective,Personality traits,selfish,zi6si1
敏感,Adjective,Personality traits,sensitive,man5gam2
怕醜,Adjective,Personality traits,shy,paa3cau2
儍,Adjective,Personality traits,silly,so4
固執,Adjective,Personality traits,stubborn,gu3zap1
蠢,Adjective,Personality traits,stupid,ceon2
迷信,Adjective,Personality traits,superstitious,mai4seon3
靠唔住,Adjective,Personality traits,unreliable,kaau3
怪,Adjective,Personality traits,"odd, weird, strange",gwaai3
禿頭,Adjective,Physical traits,bald,tuk1tau4
靚,Adjective,Physical traits,"beautiful, pretty",leng3
得意,Adjective,Physical traits,cute,dak1ji3
肥,Adjective,Physical traits,fat,fei4
瘦,Adjective,Physical traits,"skinny, lean, thin",sau3
老,Adjective,Physical traits,old,lou5
蒼白,Adjective,Physical traits,pale,cong1baak6
性感,Adjective,Physical traits,sexy,sing3gam2
矮,Adjective,Physical traits,short,ai2
苗條,Adjective,Physical traits,slim,miu4tiu5
强壯,Adjective,Physical traits,strong,goeng6
高,Adjective,Physical traits,tall,gou1
醜樣,Adjective,Physical traits,ugly,cau2joeng2
年輕,Adjective,Physical traits,young,nin4heng1
公司,Noun,Places,"corporation, company",gung1si1
屋企,Noun,Places,"house, home",uk1kei2
啲,Affix,Prefix,for plural people/things,di1
啲,Affix,Prefix,for plural people/things,di1
阿,Prefix,Prefix,an informal prefix for names,aa3
喺,Preposition,Preposition,"a general preposition (i.e. in, on, at)",hai2
過,Preposition,Preposition,over ,bat1gwo3
下,Adverb,Preposition,down,haa6 
下面,Noun,Preposition,"underneath, under",haa6 
走,Preposition,Preposition,without,zau2
我,Pronoun,Pronoun,"I, me",ngo5
你,Pronoun,Pronoun,you ,nei5
佢,Pronoun,Pronoun,"he, she",keoi5
咁,Pronoun,Pronoun,"referring to person or thing (i.e. this, that, it)",gam2
呢,Pronoun,Pronoun,this,ni1
呢個,Pronoun,Pronoun,this,ni1 go3
呢啲,Pronoun,Pronoun,these,ni1 di1
自己,Pronoun,Pronoun,"oneself, self",zi6 gei2
我哋,Pronoun,Pronoun,we,ngo5 dei6
噉,Pronoun,Pronoun,"in this way, like this",gam2
我地,Pronoun,Pronoun,we,ngo5dei6
佢哋,Pronoun,Pronoun,"they, them",keoi5dei6
都,Adverb,Quantifier,"both, all",dou1
一,Quantifier,Quantifier,"one, single ",jat1
好多,Quantifier,Quantifier,"a lot, much, many",hou2do1
咩,Quesion,Quesion,what,me1
點,Quesion,Quesion,how,dim2
點解,Quesion,Quesion,why,dim2gaai2
哥哥,Noun,Relationship,brother,go1go1
阿女,Noun,Relationship,daughter,aa3neoi2
阿仔,Noun,Relationship,son,aa3zai2
老竇,Noun,Relationship,father,lou5dau6
嫲嫲,Noun,Relationship,grandmother,maa4maa4
老公,Noun,Relationship,husband,lou5gung1
阿媽,Noun,Relationship,mother,aa3maa1
親戚,Noun,Relationship,family relative,can1cik1
家姐,Noun,Relationship,sister,gaa1ze1
阿哥,Noun,Relationship,sister,aa3go1
老婆,Noun,Relationship,wife,lou5po4
朋友,Noun,Relationship,friend,pang4jau5
餐廳,Noun,Restaurant,restaurant,caan1teng1
收據,Noun,Restaurant,"receipt, bill",sau1geoi3
客人,Noun,Restaurant,guest,haak3jan4
餐牌,Noun,Restaurant,menu,caan1paai2
貼士,Noun,Restaurant,tip,tip1si2
洗手間,Noun,Restaurant,"toilet, bathroom, washroom",sai2sau2gaan1
唔該埋單,Phrase,Restaurant,"bill, please!",m4goi1
呢度,Adverb,Spatial terms,here,ni1dou6
嗰度,Adverb,Spatial terms,there,go2dou6
近,Adverb,Spatial terms,near,gan6
遠,Adverb,Spatial terms,far,jyun5
方向,Noun,Spatial terms,direction,fong1hoeng3
左,Adverb,Spatial terms,left,zo2
右 ,Adverb,Spatial terms,right,jau6
上,Adverb,Spatial terms,up,soeng5
下,Adverb,Spatial terms,down,haa5
裏面,Noun,Spatial terms,inside,leoi5min6
出面,Noun,Spatial terms,outside,ceot1min2
北,Noun,Spatial terms,north,bak1
南,Noun,Spatial terms,south,naam4
東,Noun,Spatial terms,east,dung1
西,Noun,Spatial terms,west,sai1
游水,Verb,Sports,to swim,jau4seoi2
熟,Adjective,Temperature,cooked,suk6
暖,Adjective,Temperature,warm,nyun5
凍,Adjective,Temperature,cold,dung3
熱,Adjective,Temperature,hot,jit6
而家,Noun,Time and Date,"now, this moment",ji4 gaa1
之後,Noun,Time and Date,afterwards,zi1 hau6
即刻,Adverb,Time and Date,immediately,zik1
今日,Noun,Time and Date,today,gam1jat6
尋日,Noun,Time and Date,yesterday,cam4jat6
聽日,Noun,Time and Date,tomorrow,ting1jat6
後日,Noun,Time and Date,the day after tomorrow,hau6jat6
前日,Noun,Time and Date,the day before yesterday,cin4jat6
大後日,Noun,Time and Date,the day after the day after tomorrow,daai6hau6jat6
大前日,Noun,Time and Date,the day before the day before yesterday,daai6cin4jat6
成日,Adverb,Time and Date,"whole day, all the time, frequently, always",seng4jat6
機場,Noun,Transportation,airport,gei1coeng4
單車,Noun,Transportation,bike,daan1ce1
巴士,Noun,Transportation,bus,baa1si2
站,Noun,Transportation,"station, stop",zaam6
總站,Noun,Transportation,terminal,zung2zaam6
船,Noun,Transportation,boat,syun4
車,Noun,Transportation,car,ce1
公里,Noun,Transportation,kilometer,gung1lei5
電單車,Noun,Transportation,motorcycle,din6daan1ce1
飛機,Noun,Transportation,plane,fei1gei1
地鐵,Noun,Transportation,"subway, MTR",dei6tit3
機票,Noun,Transportation,plane ticket,gei1piu3
火車,Noun,Transportation,train,fo2ce1
紅綠燈,Noun,Transportation,traffic lights,hung4luk6dang1
電車,Noun,Transportation,tram,din6ce1
就,Verb,Verb,"to compromise, to give in to someone's demands",zau6
係,Verb,Verb,"to be (i.e. am, is, are) ",hai6
好,Verb,Verb,"to be fond of, to like",hou3
去,Verb,Verb,"to go, to leave",heoi3
有,Verb,Verb,to have,jau5
到,Verb,Verb,"to arrive, to reach",dou3
講,Verb,Verb,"to speak, to explain",gong2
要,Verb,Verb,"to need, to want",jiu3
話,Verb,Verb,"to say, to state, to speak",waa6
會,Verb,Verb,to meet,wui6
唔係,Verb,Verb,"to not be (i.e. am not, isn't, aren't)",m4 hai6
想,Verb,Verb,"to want, to hope, to expect",soeng2
嚟,Verb,Verb,to come,lai4
做,Verb,Verb,to do ,zou6
得,Verb,Verb,to get,dak1
返,Verb,Verb,"to go back, to come back, to return to",faan1
搵,Verb,Verb,"to search, to find ",wan2 
過,Verb,Verb,"to cross, to pass ",gwo3
叫,Verb,Verb,"to call, to shout, to tell",giu3
唔知,Verb,Verb,do not know,m4 zi1
住,Verb,Verb,"to live, to stay, to reside",zyu6
睇,Verb,Verb,to watch, read
覺得,Verb,Verb,"to feel, to think",gok3dak1
俾,Verb,Verb,to give,bei2
點,Verb,Verb,to dip,dim2
好似,Verb,Verb,"to be similar, to be like",hou2ci5
走,Verb,Verb,"to run, to leave, to go away,",zau2
幫,Verb,Verb,to help ,bong1
見到,Verb,Verb,"to see, have seen",gin3dou2
諗,Verb,Verb,"to think,  to consider",nam2
知道,Verb,Verb,to know,zi1dou3
雲,Noun,Weather and Astronomy,cloud,wan4
月亮,Noun,Weather and Astronomy,moon,jyut6loeng6
天空,Noun,Weather and Astronomy,sky,tin1hung1
太陽,Noun,Weather and Astronomy,sun,taai3joeng4
